time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-03-12T21:18:35.730Z,39.041,144.481,35,4.2,mb,22,157.5,,1.25,us,usp000hwm3,2014-11-07T01:44:03.467Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T21:15:49.610Z,37.18,144.014,35,4.3,mb,42,119.8,,0.91,us,usp000hwm2,2014-11-07T01:44:03.463Z,"off the east coast of Honshu, Japan",earthquake,,,,8,reviewed,us,us
2011-03-12T21:13:01.650Z,37.009,144.444,35.3,4.2,mb,22,136.5,,0.5,us,usp000hwm1,2014-11-07T01:44:03.461Z,"off the east coast of Honshu, Japan",earthquake,,9.3,,2,reviewed,us,us
2011-03-12T21:03:18.060Z,38.803,142.873,28.8,4.3,mb,24,135,,0.94,us,usp000hwm0,2014-11-07T01:44:03.459Z,"near the east coast of Honshu, Japan",earthquake,,26.9,,5,reviewed,us,us
2011-03-12T21:02:33.500Z,37.239,141.483,7.6,4.4,mb,26,128.5,,0.8,us,usp000hwkz,2014-11-07T01:44:03.437Z,"near the east coast of Honshu, Japan",earthquake,,22.4,,5,reviewed,us,us
2011-03-12T21:01:57.430Z,37.14,144.145,35,4.4,mb,22,136.3,,1.04,us,usp000hwky,2014-11-07T01:44:03.435Z,"off the east coast of Honshu, Japan",earthquake,,,,6,reviewed,us,us
2011-03-12T21:01:11.220Z,37.239,141.916,23,4.5,mb,39,118.7,,0.75,us,usp000hwkx,2014-11-07T01:44:03.432Z,"near the east coast of Honshu, Japan",earthquake,,17.7,,8,reviewed,us,us
2011-03-12T20:59:15.690Z,38.357,143.587,35,4.6,mb,34,135.5,,1.6,us,usp000hwkw,2014-11-07T01:44:03.429Z,"off the east coast of Honshu, Japan",earthquake,,,,11,reviewed,us,us
2011-03-12T20:56:18.770Z,38.304,141.883,66.7,4.3,mb,37,135.6,,0.62,us,usp000hwkv,2014-11-07T01:44:03.426Z,"near the east coast of Honshu, Japan",earthquake,,6,,8,reviewed,us,us
2011-03-12T20:53:59.590Z,36.704,141.858,10,4.2,mb,17,135.1,,0.96,us,usp000hwku,2014-11-07T01:44:03.424Z,"near the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T20:50:01.810Z,39.875,143.352,56.6,4.7,mb,27,152.9,,0.65,us,usp000hwkt,2014-11-07T01:44:03.422Z,"off the east coast of Honshu, Japan",earthquake,,11.7,,8,reviewed,us,us
2011-03-12T20:48:47.310Z,39.843,143.311,31.8,4.8,mb,61,126.8,,0.86,us,usp000hwks,2014-11-07T01:44:03.417Z,"off the east coast of Honshu, Japan",earthquake,,11.8,,27,reviewed,us,us
2011-03-12T20:42:41.190Z,35.98,142.777,35,4.9,mb,36,73,,1.12,us,usp000hwkr,2014-11-07T01:44:03.414Z,"off the east coast of Honshu, Japan",earthquake,,,,13,reviewed,us,us
2011-03-12T20:41:27.520Z,37.13,141.29,45.1,4.9,mb,154,66.3,,0.96,us,usp000hwkq,2014-11-07T01:44:03.403Z,"near the east coast of Honshu, Japan",earthquake,,5.4,,96,reviewed,us,us
2011-03-12T20:37:15.850Z,38.994,144.634,4.9,4.4,mb,31,136.7,,0.81,us,usp000hwkp,2014-11-07T01:44:03.400Z,"off the east coast of Honshu, Japan",earthquake,,19.6,,7,reviewed,us,us
2011-03-12T20:35:07.500Z,36.262,142.065,36.6,4.4,mb,40,118,,1.64,us,usp000hwkn,2014-11-07T01:44:03.397Z,"off the east coast of Honshu, Japan",earthquake,,11.3,,8,reviewed,us,us
2011-03-12T20:27:32.760Z,37.677,141.979,22.1,4.5,mb,24,129,,0.86,us,usp000hwkm,2014-11-07T01:44:03.395Z,"near the east coast of Honshu, Japan",earthquake,,30.1,,4,reviewed,us,us
2011-03-12T20:24:51.990Z,36.474,142.542,10,4.2,mb,20,127.5,,0.81,us,usp000hwkk,2014-11-07T01:44:03.393Z,"off the east coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2011-03-12T20:24:15.480Z,38.087,143.351,35,4.1,mb,18,135.5,,1.1,us,usp000hwkj,2014-11-07T01:44:03.391Z,"off the east coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2011-03-12T20:21:39.360Z,37.93,142.348,35,4.5,mb,45,121.1,,0.87,us,usp000hwkh,2014-11-07T01:44:03.388Z,"off the east coast of Honshu, Japan",earthquake,,,,7,reviewed,us,us
2011-03-12T20:19:43.370Z,39.023,144.732,35,4.4,mb,23,157.8,,0.95,us,usp000hwkg,2014-11-07T01:44:03.385Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T20:14:32.080Z,38.892,144.751,4.2,5,mb,60,77.6,,0.93,us,usp000hwke,2014-11-07T01:44:03.371Z,"off the east coast of Honshu, Japan",earthquake,,16.4,,14,reviewed,us,us
2011-03-12T20:13:55.260Z,38.166,143.878,10,4.7,mb,26,135.8,,1.03,us,usp000hwkd,2014-11-07T01:44:03.369Z,"off the east coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us
2011-03-12T20:09:56.270Z,36.747,143.993,35,5.1,mwc,196,46.7,,0.93,us,usp000hwkc,2014-11-07T01:44:03.354Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,gcmt
2011-03-12T20:08:26.970Z,35.754,141.754,36.3,5,mb,91,126.7,,0.79,us,usp000hwkb,2014-11-07T01:44:03.346Z,"near the east coast of Honshu, Japan",earthquake,,6.3,,44,reviewed,us,us
2011-03-12T20:00:03.230Z,39.36,143.555,35,4.6,mb,14,135.3,,1.5,us,usp000hwka,2014-11-07T01:44:03.345Z,"off the east coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2011-03-12T19:59:00.090Z,38.047,142.827,15.3,4.8,mb,145,121.1,,0.8,us,usp000hwk9,2014-11-07T01:44:03.335Z,"near the east coast of Honshu, Japan",earthquake,,3,,93,reviewed,us,us
2011-03-12T19:55:25.860Z,37.405,142.409,7.8,4.5,mb,53,120.4,,0.83,us,usp000hwk7,2014-11-07T01:44:03.329Z,"off the east coast of Honshu, Japan",earthquake,,13.9,,16,reviewed,us,us
2011-03-12T19:48:52.180Z,37.883,144.431,35,4.3,mb,24,143.6,,1.78,us,usp000hwk6,2014-11-07T01:44:03.326Z,"off the east coast of Honshu, Japan",earthquake,,,,5,reviewed,us,us
2011-03-12T19:43:46.900Z,38.235,143.209,27.7,4.7,mb,87,134.1,,1.31,us,usp000hwk4,2014-11-07T01:44:03.310Z,"off the east coast of Honshu, Japan",earthquake,,19.3,,52,reviewed,us,us
2011-03-12T19:38:05.330Z,35.791,141.4,14.2,4.8,mb,128,51.3,,0.85,us,usp000hwk3,2014-11-07T01:44:03.301Z,"near the east coast of Honshu, Japan",earthquake,,13.5,,80,reviewed,us,us
2011-03-12T19:35:47.750Z,36.042,141.927,10,4.4,mb,11,211,,0.67,us,usp000hwk2,2014-11-07T01:44:03.299Z,"near the east coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us
2011-03-12T19:32:48.070Z,37.114,142.827,35,4.8,mb,20,158.8,,1.65,us,usp000hwk1,2014-11-07T01:44:03.297Z,"off the east coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2011-03-12T19:27:45.230Z,36.132,141.865,10,4.5,mb,37,116.9,,1.25,us,usp000hwk0,2014-11-07T01:44:03.294Z,"near the east coast of Honshu, Japan",earthquake,,,,7,reviewed,us,us
2011-03-12T19:22:45.350Z,37.227,142.203,17.3,4.9,mb,192,72.5,,0.79,us,usp000hwjz,2014-11-07T01:44:03.281Z,"off the east coast of Honshu, Japan",earthquake,,11.4,,132,reviewed,us,us
2011-03-12T19:17:03.100Z,39.879,142.443,89.3,4.7,mb,21,173.7,,0.77,us,usp000hwjy,2014-11-07T01:44:03.279Z,"near the east coast of Honshu, Japan",earthquake,,16.4,,6,reviewed,us,us
2011-03-12T19:11:57.050Z,37.713,142.608,4.7,5.3,mwc,207,47,,0.87,us,usp000hwjx,2014-11-07T01:44:03.263Z,"off the east coast of Honshu, Japan",earthquake,,12.9,,,reviewed,us,gcmt
2011-03-12T19:08:54.070Z,37.67,143.439,37.3,4.4,mb,33,135.7,,0.89,us,usp000hwjw,2014-11-07T01:44:03.260Z,"off the east coast of Honshu, Japan",earthquake,,8.8,,8,reviewed,us,us
2011-03-12T19:01:08.190Z,36.635,142.012,47.5,4.7,mb,64,119.6,,0.88,us,usp000hwjv,2014-11-07T01:44:03.255Z,"off the east coast of Honshu, Japan",earthquake,,8.3,,35,reviewed,us,us
